"university","career","inscription_date","name","gender","age","postal_code","email"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN MUSICOTERAPIA","2021-05-03","ASHLEY REYNOLDS","F","1977-04-01","3722","KINGRENEE@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","MEDICINA","2019-11-22","TIMOTHY ORTIZ","M","2017-10-14","8206","JHOPKINS@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","ARQUITECTURA","2021-07-07","DANNY NORMAN","M","1926-09-05","3036","DANIELSLAUREN@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN GESTIÓN DE AGROALIMENTOS","2019-10-04","JOHNNY PRINCE","M","1980-08-27","4113","CRAWFORDMATTHEW@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2021-10-20","CASEY RODRIGUEZ","F","2004-08-19","5401","GARCIAEUGENE@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2020-11-01","CHELSEA TAYLOR","F","1922-03-18","6200","MICHAEL67@GMAIL.COM"
"UNIVERSIDAD DE FLORES","ARQUITECTURA","2021-07-04","SUZANNE WALKER","F","1983-08-03","3013","GILMOREDAVID@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN SOCIOLOGÍA ","2020-06-27","ARIEL MARTIN","F","1922-04-15","3302","OBAKER@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA ELECTRÓNICA","2021-08-31","DEBORAH WOOD","F","1918-05-27","4701","BLACKBURNDANIELLE@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ARTES","2021-08-15","STEVEN MOORE","M","1968-01-26","8403","FRANCORAVEN@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS","2021-12-18","DOUGLAS MENDOZA","M","1943-02-13","9120","ADAMSCHRISTINA@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS GEOLÓGICAS","2021-08-30","DR. TODD OWENS","M","1975-10-27","2622","PBLACK@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","DISEÑO DE IMAGEN Y SONIDO","2021-12-07","MICHEAL GREEN","M","1997-03-07","3057","TAPIAKEVIN@GMAIL.COM"
"UNIVERSIDAD DE FLORES","AGRONOMÍA","2021-04-29","SALLY POPE","F","1993-02-26","3382","JENNIFERPACHECO@YAHOO.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA EN INFORMÁTICA","2020-08-09","LAURA STANTON","F","1960-03-10","2240","BENNETTTERRI@YAHOO.COM"
"UNIVERSIDAD DE FLORES","DISEÑO INDUSTRIAL","2020-08-19","JUDITH BRANDT","F","1908-04-23","3592","LISAHINES@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS AMBIENTALES","2021-03-06","JON OSBORNE","M","1919-05-28","4163","MATTHEW53@HOTMAIL.COM"
