university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad de flores,licenciatura en musicoterapia,2021-05-03,ashley,reynolds,female,45,3722,2 de mayo,kingrenee@hotmail.com
universidad de flores,medicina,2019-11-22,timothy,ortiz,male,4,8206,colonia españa,jhopkins@hotmail.com
universidad de flores,arquitectura,2021-07-07,danny,norman,male,95,3036,aromos,danielslauren@gmail.com
universidad de flores,licenciatura en gestión de agroalimentos,2019-10-04,johnny,prince,male,41,4113,acostilla,crawfordmatthew@gmail.com
universidad de flores,licenciatura en kinesiología y fisiatría,2021-10-20,casey,roiguez,female,17,5401,barrio el tontal,garciaeugene@yahoo.com
universidad de flores,licenciatura en kinesiología y fisiatría,2020-11-01,chelsea,taylor,female,100,6200,realico,michael67@gmail.com
universidad de flores,arquitectura,2021-07-04,suzanne,walker,female,38,3013,colonia matilde,gilmoredavid@gmail.com
universidad de flores,licenciatura en sociología ,2020-06-27,ariel,martin,female,100,3302,aguara cua,obaker@hotmail.com
universidad de flores,ingeniería electrónica,2021-08-31,deborah,wood,female,104,4701,acostilla,blackburndanielle@gmail.com
universidad de flores,licenciatura en artes,2021-08-15,steven,moore,male,54,8403,alicura,francoraven@hotmail.com
universidad de flores,licenciatura en ciencia y tecnología de alimentos,2021-12-18,douglas,mendoza,male,79,9120,bahia cracher,adamschristina@gmail.com
universidad de flores,licenciatura en ciencias geológicas,2021-08-30,todd,owens,male,46,2622,maggiolo,pblack@hotmail.com
universidad de flores,diseño de imagen y sonido,2021-12-07,micheal,green,male,25,3057,estancia las gamas,tapiakevin@gmail.com
universidad de flores,agronomía,2021-04-29,sally,pope,female,29,3382,colonia cunci,jenniferpacheco@yahoo.com
universidad de flores,ingeniería en informática,2020-08-09,laura,stanton,female,62,2240,campo garcia,bennettterri@yahoo.com
universidad de flores,diseño industrial,2020-08-19,judith,brandt,female,114,3592,colonia hardy,lisahines@yahoo.com
universidad de flores,licenciatura en ciencias ambientales,2021-03-06,jon,osborne,male,103,4163,huasa pampa norte,matthew53@hotmail.com
universidad de flores,ingeniería en informática,2020-12-09,daniel,brown,male,82,1633,empalme,khodges@gmail.com
universidad de flores,ingeniería mecánica,2021-02-19,hayley,holmes,female,96,6507,corbett,rbates@yahoo.com
universidad de flores,actuario ,2021-04-22,veronica,alexander,female,55,6201,chanilao,brownjames@hotmail.com
universidad de flores,licenciatura en artes,2021-08-25,hannah,jefferson,female,50,6557,arboleda,frichardson@hotmail.com
universidad de flores,licenciatura en ciencia y tecnología de alimentos,2021-08-16,amanda,terry,female,102,3708,concepcion del bermejo,sjohnston@yahoo.com
universidad de flores,licenciatura en artes,2019-12-28,billy,blair,male,38,6734,rawson,adam75@hotmail.com
universidad de flores,licenciatura en planificación y diseño del paisaje,2020-08-14,seth,garrett,male,70,4158,campo de talamayo,veronica97@hotmail.com
universidad de flores,licenciatura en ciencias antropológicas,2020-09-11,amy,scott,female,31,5777,adolfo rodriguez saa,dmadden@hotmail.com
universidad de flores,ingeniería mecánica,2021-06-07,kevin,mcknight,male,14,7249,el araza,maddenshawn@yahoo.com
universidad de flores,licenciatura en ciencias geológicas,2021-10-26,timothy,jimenez,male,24,7318,colonia hinojo,michelle56@gmail.com
universidad de flores,licenciatura en sociología ,2020-08-29,miss,katherine,female,85,9411,base aerea teniente matienzo,samantha22@yahoo.com
universidad de flores,licenciatura en ciencias ambientales,2020-09-18,david,huber,male,70,4605,alisos  de abajo,wwebb@hotmail.com
universidad de flores,actuario ,2021-06-17,francisco,barnes,male,106,1635,kilometro 45,latasha16@yahoo.com
universidad de flores,contador público ,2021-03-17,cynthia,vega,female,9,8521,arroyo de la ventana,hbrown@yahoo.com
universidad de flores,licenciatura en administración ,2021-03-18,teresa,trevino,female,101,6385,arata,kelly84@yahoo.com
universidad de flores,diseño de imagen y sonido,2020-09-06,steven,munoz,male,67,5381,bella vista,christopher00@yahoo.com
universidad de flores,licenciatura en musicoterapia,2020-01-03,theresa,mclaughlin,female,111,3241,campo de villamil,tcole@gmail.com
universidad de flores,farmacia,2021-06-21,rachel,montoya,female,93,1718,san antonio de padua,herrerajanice@hotmail.com
universidad de flores,licenciatura en ciencias biológicas,2020-04-19,tracy,gonzalez,female,100,7630,hospital necochea,xbowen@hotmail.com
universidad de flores,licenciatura en planificación y diseño del paisaje,2020-12-22,tim,cox,male,18,5622,colonia jauregui,aliciapearson@hotmail.com
