university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad nacional de villa maría,licenciatura en gestión de agroalimentos,2021-03-10,adam,parker,male,27,4506,alegria,kelly29@hotmail.com
universidad nacional de villa maría,licenciatura en gestión de agroalimentos,2021-03-10,adam,parker,male,27,6389,alegria,kelly29@hotmail.com
universidad nacional de villa maría,bioquímica,2020-04-19,nicholas,greer,male,-20,8415,arroyo las minas,noahgates@hotmail.com
universidad nacional de villa maría,diseño de imagen y sonido,2019-11-17,megan,ayala,female,16,8134,argerich,lrivera@hotmail.com
universidad nacional de villa maría,licenciatura en psicología,2020-01-01,blake,austin,male,28,6708,colonia nac de alienados,lgonzalez@hotmail.com
universidad nacional de villa maría,ingeniería mecánica,2019-10-19,amy,wong,female,14,3585,el sombrerito,rwoods@gmail.com
universidad nacional de villa maría,ingeniería mecánica,2019-12-08,tara,artrong,female,27,8520,aguada del loro,johnstonsarah@gmail.com
universidad nacional de villa maría,diseño de imagen y sonido,2021-04-16,brett,horn,male,-45,1653,villa ballester,jhamilton@gmail.com
universidad nacional de villa maría,licenciatura en ciencias de la computación,2019-12-31,sean,rivera,male,-26,7641,balneario los angeles,elizabeth72@gmail.com
universidad nacional de villa maría,licenciatura en terapia ocupacional,2021-10-05,james,becker,male,11,2216,campo raffo,tyleratkinson@gmail.com
universidad nacional de villa maría,licenciatura en ciencia y tecnología de alimentos,2021-12-20,rebecca,abbott,female,-6,2142,campo medina,briggscolleen@yahoo.com
universidad nacional de villa maría,medicina,2020-05-11,richard,graham,male,-22,3480,algarrobal,jacksonsarah@gmail.com
universidad nacional de villa maría,medicina,2020-05-11,richard,graham,male,-22,4600,algarrobal,jacksonsarah@gmail.com
universidad nacional de villa maría,agronomía,2020-06-19,stephanie,jacobson,female,-44,4653,casira,renee72@hotmail.com
universidad nacional de villa maría,licenciatura en kinesiología y fisiatría,2020-07-16,sarah,lindsey,female,-21,6032,blandengues,xjohnson@gmail.com
universidad nacional de villa maría,licenciatura en producción de bioimagenes,2020-07-02,shane,burns,male,-31,6703,alastuey,hortonkimberly@yahoo.com
universidad nacional de villa maría,licenciatura en ciencias geológicas,2020-04-26,timothy,gordon,male,8,7633,maori,marissa19@hotmail.com
universidad nacional de villa maría,actuario ,2021-08-18,megan,johnson,female,0,2600,boca p 25,troy84@hotmail.com
universidad nacional de villa maría,licenciatura en ciencias de la computación,2019-11-18,isabel,jones,female,12,3229,colonia freitas,sarahhanson@gmail.com
universidad nacional de villa maría,medicina,2021-11-07,timothy,valdez,male,41,8353,aguada chacay co,lewisgwendolyn@gmail.com
universidad nacional de villa maría,licenciatura en gestión de agroalimentos,2021-07-23,caitlin,manning,female,4,5587,barcala,fpadilla@gmail.com
universidad nacional de villa maría,farmacia,2019-12-11,jacqueline,jackson,female,-30,5343,lavalle,brianna72@yahoo.com
universidad nacional de villa maría,ciencias veterinarias,2021-08-27,stephen,ingram,male,-6,6457,ingeniero beaugey,drew88@gmail.com
universidad nacional de villa maría,licenciatura en psicología,2021-08-31,terri,tucker,female,44,3212,arroyo el mocho,hopkinsruben@hotmail.com
universidad nacional de villa maría,ingeniería electrónica,2021-05-04,timothy,barnett,male,5,7116,camaron chico,zjones@gmail.com
universidad nacional de villa maría,licenciatura en relaciones del trabajo ,2021-12-18,katherine,johnson,female,8,6407,girodias,ejones@gmail.com
universidad nacional de villa maría,contador público ,2021-12-30,christopher,brady,male,-15,8400,isla victoria,kevin96@yahoo.com
universidad nacional de villa maría,licenciatura en ciencia política ,2020-09-15,jonathan,harris,male,6,1768,ciudad madero,richard21@hotmail.com
universidad nacional de villa maría,licenciatura en planificación y diseño del paisaje,2020-09-20,jamie,harrell,female,-46,1607,villa adelina,jdalton@hotmail.com
universidad nacional de villa maría,actuario ,2021-05-01,kimberly,graham,female,-18,3318,bonpland norte,jennifer15@yahoo.com
universidad nacional de villa maría,agronomía,2021-11-15,timothy,lawrence,male,-14,9203,aldea escolar,jacquelinepatton@gmail.com
universidad nacional de villa maría,agronomía,2021-07-20,shelia,hart,female,11,1602,florida,holly79@gmail.com
