"UNIVERSIDAD DE FLORES","BIOQUÍMICA","2020-10-18","FRED ORTIZ","1966-10-14","4231","TIFFANY03@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN GESTIÓN DE AGROALIMENTOS","2020-10-12","TIFFANY PARKER","1957-11-27","6319","JEFFREY69@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN SOCIOLOGÍA ","2020-11-17","NICOLE BRUCE","2006-08-16","7613","RODRIGUEZMITCHELL@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS BIOLÓGICAS","2021-01-29","ERIC LEWIS","1929-05-19","7013","WCORTEZ@YAHOO.COM"
"UNIVERSIDAD DE FLORES","DISEÑO DE IMAGEN Y SONIDO","2020-11-13","DR. TAYLOR YORK","2018-11-04","5645","VALENCIABRANDON@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA ELECTRÓNICA","2020-11-23","THOMAS THOMPSON","1967-09-15","4709","DCOLLINS@GMAIL.COM"
"UNIVERSIDAD DE FLORES","BIOQUÍMICA","2020-09-25","AMANDA WILLIAMS","1925-08-15","6346","EPRESTON@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN SOCIOLOGÍA ","2020-12-18","WILLIAM CHAMBERS","1946-12-28","5598","GROSSGLEN@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","FARMACIA","2020-11-10","JEREMY MCBRIDE","1989-07-26","6313","JENNIFERROSS@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA EN INFORMÁTICA","2020-11-02","ARIEL TAYLOR","2006-06-29","2701","CHRISTOPHER77@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN MUSICOTERAPIA","2020-11-10","KAREN MARTINEZ","2001-10-15","9033","KAITLINGONZALEZ@GMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA MECÁNICA","2020-12-29","JAMIE ROBERTS","1930-01-06","6369","JEFFREYMONTGOMERY@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES","2020-10-16","SAMANTHA HALL","1983-03-06","3162","KCHAVEZ@YAHOO.COM"
"UNIVERSIDAD DE FLORES","ACTUARIO ","2020-10-23","MALLORY BUTLER","1920-12-25","3183","GABRIELA37@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ADMINISTRACIÓN ","2020-10-23","PATRICK OWENS","1909-08-20","3302","JOHNSONKEITH@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2020-10-15","TIFFANY DUNCAN","1944-04-29","3027","KATIEMOORE@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN","2020-11-26","ERIN HUNTER","1994-07-27","5633","QCHANG@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS BIOLÓGICAS","2020-12-06","DONNA MOORE MD","2008-07-02","6607","ERICPORTER@YAHOO.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA EN INFORMÁTICA","2020-12-09","EVAN BURNS DVM","1928-10-24","2438","BENJAMIN27@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS","2020-10-09","BETH SMITH","2013-08-05","1741","LCOPELAND@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA MECÁNICA","2020-09-15","RUSSELL ZIMMERMAN","1996-06-18","6469","KELLYHALL@GMAIL.COM"
"UNIVERSIDAD DE FLORES","ACTUARIO ","2020-10-24","JOHN MOON","1923-09-15","8332","YSANFORD@GMAIL.COM"
"UNIVERSIDAD DE FLORES","CIENCIAS VETERINARIAS","2020-10-30","ANTHONY ALVARADO","1958-08-20","3009","SMITHMELANIE@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN SOCIOLOGÍA ","2020-10-23","JOSEPH BROWN III","1946-12-25","5831","ASHLEY05@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ARTES","2020-12-28","TAYLOR DAY","1979-05-21","1778","DANIEL04@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN MUSICOTERAPIA","2020-10-13","AMBER MURPHY","1953-11-14","2824","JACQUELINE82@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PSICOLOGÍA","2020-09-20","REBECCA MCGEE","1970-05-09","3565","PAMELAYOUNG@GMAIL.COM"
"UNIVERSIDAD DE FLORES","TÉCNICO PARA BIOTERIOS ","2020-09-27","CALVIN MORA","2015-07-16","5500","JESSICA43@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS GEOLÓGICAS","2020-11-19","MICHAEL WILLIAMSON","1984-12-02","6031","YSUTTON@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS","2021-01-25","DANIEL STOKES","1997-12-27","2447","CLOPEZ@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE","2020-09-25","JOSE CRUZ","1913-03-17","1653","JEFFERYLANE@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN","2020-10-21","CHRISTOPHER WRIGHT","2016-10-26","4616","NELSONVIRGINIA@YAHOO.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA ELECTRÓNICA","2020-12-24","LEON SULLIVAN","1933-10-23","2761","WHITECHRISTOPHER@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN GESTIÓN DE AGROALIMENTOS","2020-11-09","JAMES PRICE","1955-01-16","5511","VHODGE@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN SOCIOLOGÍA ","2021-01-18","TAMMY PACHECO MD","1922-11-10","5421","DWATKINS@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","AGRONOMÍA","2021-01-09","DANIEL BYRD","1993-12-11","3196","JOHNBOYER@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA MECÁNICA","2020-12-05","WILLIAM WHITE","1968-08-18","8101","EVANKING@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","DISEÑO INDUSTRIAL","2020-09-16","TANYA JOHNSON","1948-06-18","2843","JACK17@YAHOO.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA MECÁNICA","2021-01-07","KATHERINE CRUZ","1924-11-06","5775","NICHOLSPAMELA@YAHOO.COM"
"UNIVERSIDAD DE FLORES","CIENCIAS VETERINARIAS","2020-09-16","DEBORAH WADE","2007-12-07","8115","PENNY22@YAHOO.COM"
"UNIVERSIDAD DE FLORES","TÉCNICO PARA BIOTERIOS ","2020-11-05","JAMES HILL","1976-04-08","3241","MLANDRY@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN MUSICOTERAPIA","2020-10-25","ASHLEY WOOD","2013-12-13","8521","GHORN@YAHOO.COM"
"UNIVERSIDAD DE FLORES","TÉCNICO PARA BIOTERIOS ","2020-12-17","MR. JONATHAN ROBERTS DVM","2009-06-26","3263","KYLEBARKER@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN","2020-10-13","ELIZABETH JENNINGS","1928-09-23","7021","YMILLER@GMAIL.COM"
"UNIVERSIDAD DE FLORES","MEDICINA","2021-01-05","GEORGE FLORES JR.","2020-08-09","4632","FITZPATRICKKRISTY@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","ACTUARIO ","2020-10-16","ZOE COLLINS","1934-01-01","8336","IMUNOZ@GMAIL.COM"
"UNIVERSIDAD DE FLORES","BIOQUÍMICA","2020-10-19","JONATHAN LEWIS","1933-06-25","6313","LESLIE28@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","CONTADOR PÚBLICO ","2021-01-18","DONALD PATTERSON","1934-06-10","1746","BRADYDYLAN@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PSICOLOGÍA","2021-01-24","WILLIAM MERCADO","1951-10-03","5835","RSCHAEFER@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS","2020-09-13","NICOLE MILLER","1928-12-04","2600","ZRODGERS@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN GESTIÓN DE AGROALIMENTOS","2020-10-19","JACQUELINE LOPEZ","1970-04-17","3014","VINCENTJASON@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","BIOQUÍMICA","2020-11-19","TREVOR SANTIAGO","1936-07-24","3461","HENRYCRYSTAL@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA POLÍTICA ","2020-09-10","KAREN PAYNE","1933-05-06","3372","WHAMPTON@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA POLÍTICA ","2020-09-28","ALEXIS PHILLIPS","1944-04-09","3177","WLEONARD@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN","2020-10-15","MARY WARREN","1926-01-23","8307","ELLISBENJAMIN@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS AMBIENTALES","2020-10-09","KENNETH MADDOX","1930-01-20","2820","ZACHARYSMITH@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2020-11-29","JANICE PAGE","1914-10-21","7151","JONESDONNA@YAHOO.COM"
"UNIVERSIDAD DE FLORES","ARQUITECTURA","2020-12-12","JAMES VARGAS","1943-12-24","8148","HOJOHN@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","ARQUITECTURA","2021-01-12","ANDREW DELACRUZ","1969-09-23","2136","IHALL@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ","2020-11-17","ALAN HUANG","1986-06-26","3716","MARSHALLSHANNON@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2020-09-18","NANCY GROSS","1979-08-01","2318","ERICARUIZ@YAHOO.COM"
"UNIVERSIDAD DE FLORES","DISEÑO INDUSTRIAL","2021-01-15","REBECCA WILLIAMS","1955-01-18","2454","JENNIFER59@YAHOO.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA EN INFORMÁTICA","2020-09-05","JASON CURRY","1962-01-11","3449","RACHAEL21@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA POLÍTICA ","2021-01-26","RENEE TORRES","1979-06-22","2222","BMADDOX@GMAIL.COM"
"UNIVERSIDAD DE FLORES","DISEÑO INDUSTRIAL","2020-10-20","MR. ALEX LANE","1997-04-18","1647","AARON11@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","DISEÑO DE IMAGEN Y SONIDO","2021-01-21","BRITTANY MOORE","1993-03-24","6450","HOOVERCHRISTINE@GMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA ELECTRÓNICA","2020-10-29","MOLLY MUNOZ","2009-06-05","3360","ERIVERA@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ","2020-09-23","SANDY GUERRA","1919-01-23","3427","PANDERSON@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN MUSICOTERAPIA","2021-01-17","SCOTT HARPER","1990-04-16","3204","MCDANIELKATELYN@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES","2020-09-04","LISA GARNER","1939-06-09","5707","JOHN53@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS GEOLÓGICAS","2020-11-28","JENNIFER BENTON","1975-02-17","4612","POWELLRICARDO@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","CIENCIAS VETERINARIAS","2021-01-18","TAYLOR SHANNON","1938-08-24","5527","EVAN89@YAHOO.COM"
"UNIVERSIDAD DE FLORES","ARQUITECTURA","2020-09-09","JAMIE ROGERS","1927-10-29","7620","EWILLIAMS@GMAIL.COM"
