university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad-j.-f.-kennedy,ingeniería-mecánica,21-Jan-19,nancy,underwood,f,46.0,4139,"2173-joanne-groves
martinland,-ri-40658",mcdonaldjulia@yahoo.com
universidad-j.-f.-kennedy,actuario-,20-Oct-15,james,kelly,m,-46.0,3176,"312-powers-rapids-apt.-557
greenfort,-ks-38676",contrerasstephen@yahoo.com
universidad-j.-f.-kennedy,diseño-de-imagen-y-sonido,21-Jan-22,jaime,crawford,f,45.0,7612,"98306-kevin-port-suite-279
new-denisemouth,-ok-01074",martin59@yahoo.com
universidad-j.-f.-kennedy,actuario-,20-Oct-06,matthew,ballard,m,3.0,7401,"unit-5743-box-5761
dpo-ae-17758",jamesguerra@yahoo.com
universidad-j.-f.-kennedy,arquitectura,20-Oct-19,tiffany,harris,f,-28.0,5471,"04779-sharon-extension
christophermouth,-mo-36023",simmonsderek@yahoo.com
universidad-j.-f.-kennedy,licenciatura-en-producción-de-bioimagenes,21-Jan-07,antonio,turner,m,28.0,4164,"595-christopher-roads
new-mariahaven,-id-48517",burgesskathy@yahoo.com
universidad-j.-f.-kennedy,licenciatura-en-ciencias-de-la-educación-,20-Dec-27,holly,miller,f,28.0,3083,"401-sarah-rapid-apt.-043
north-kathryn,-pa-43768",ggraves@yahoo.com
universidad-j.-f.-kennedy,licenciatura-en-kinesiología-y-fisiatría,20-Sep-08,andrew,lee,m,-32.0,4751,"030-rodney-mountains-suite-137
east-michelleview,-ut-38509",haley06@hotmail.com
universidad-j.-f.-kennedy,licenciatura-en-relaciones-del-trabajo-,21-Jan-15,melanie,parks,f,14.0,2506,"389-jonathan-stravenue
west-dawn,-mt-85338",mgarza@yahoo.com
universidad-j.-f.-kennedy,medicina,20-Sep-14,aaron,brown,m,12.0,3418,"38554-john-harbors
ibarraton,-ne-94554",richard88@yahoo.com
universidad-j.-f.-kennedy,licenciatura-en-ciencias-antropológicas,20-Sep-20,terry,mooney,m,1.0,2801,"54919-christopher-loaf-apt.-366
johnport,-nd-69215",joshua50@hotmail.com
universidad-j.-f.-kennedy,licenciatura-en-ciencias-de-la-educación-,21-Jan-15,john,cantu,m,-8.0,3283,"93335-turner-corners
east-andrea,-nc-77877",ashleylin@hotmail.com
universidad-j.-f.-kennedy,licenciatura-en-ciencia-política-,20-Oct-02,joseph,callahan,m,-35.0,6220,"85795-miller-point-suite-566
lake-stephanieview,-nd-42095",ronaldgonzales@gmail.com
universidad-j.-f.-kennedy,licenciatura-en-producción-de-bioimagenes,20-Oct-31,linda,sexton,f,-32.0,3340,"0333-holder-well
smithville,-me-62228",kgardner@yahoo.com
universidad-j.-f.-kennedy,licenciatura-en-ciencias-de-la-computación,20-Dec-06,john,cantu-phd,m,30.0,6660,"usnv-brown
fpo-ae-98891",hcrawford@gmail.com
universidad-j.-f.-kennedy,ingeniería-electrónica,20-Dec-28,deborah,green,f,25.0,8214,"26451-erica-port
east-lindsey,-de-35816",linda47@yahoo.com
