,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad j  f  kennedy,ingeniería mecánica,2021-01-19,nancy,underwood,female,46,4139,2173 joanne groves martinland  ri 40658,mcdonaldjulia@yahoo.com
1,universidad j  f  kennedy,actuario,2020-10-15,james,kelly,male,-46,3176,312 powers rapids apt. 557 greenfort  ks 38676,contrerasstephen@yahoo.com
2,universidad j  f  kennedy,diseño de imagen y sonido,2021-01-22,jaime,crawford,female,45,7612,98306 kevin port suite 279 new denisemouth  ok 01074,martin59@yahoo.com
3,universidad j  f  kennedy,actuario,2020-10-06,matthew,ballard,male,3,7401,unit 5743 box 5761 dpo ae 17758,jamesguerra@yahoo.com
4,universidad j  f  kennedy,arquitectura,2020-10-19,tiffany,harris,female,-28,5471,04779 sharon extension christophermouth  mo 36023,simmonsderek@yahoo.com
5,universidad j  f  kennedy,licenciatura en producción de bioimagenes,2021-01-07,antonio,turner,male,28,4164,595 christopher roads new mariahaven  id 48517,burgesskathy@yahoo.com
6,universidad j  f  kennedy,licenciatura en ciencias de la educación,2020-12-27,holly,miller,female,28,3083,401 sarah rapid apt. 043 north kathryn  pa 43768,ggraves@yahoo.com
7,universidad j  f  kennedy,licenciatura en kinesiología y fisiatría,2020-09-08,andrew,lee,male,-32,4751,030 rodney mountains suite 137 east michelleview  ut 38509,haley06@hotmail.com
8,universidad j  f  kennedy,licenciatura en relaciones del trabajo,2021-01-15,melanie,parks,female,14,2506,389 jonathan stravenue west dawn  mt 85338,mgarza@yahoo.com
9,universidad j  f  kennedy,medicina,2020-09-14,aaron,brown,male,12,3418,38554 john harbors ibarraton  ne 94554,richard88@yahoo.com
10,universidad j  f  kennedy,licenciatura en ciencias antropológicas,2020-09-20,terry,mooney,male,1,2801,54919 christopher loaf apt. 366 johnport  nd 69215,joshua50@hotmail.com
11,universidad j  f  kennedy,licenciatura en ciencias de la educación,2021-01-15,john,cantu,male,-8,3283,93335 turner corners east andrea  nc 77877,ashleylin@hotmail.com
12,universidad j  f  kennedy,licenciatura en ciencia política,2020-10-02,joseph,callahan,male,-35,6220,85795 miller point suite 566 lake stephanieview  nd 42095,ronaldgonzales@gmail.com
13,universidad j  f  kennedy,licenciatura en producción de bioimagenes,2020-10-31,linda,sexton,female,-32,3340,0333 holder well smithville  me 62228,kgardner@yahoo.com
14,universidad j  f  kennedy,licenciatura en ciencias de la computación,2020-12-06,john,cantu phd,male,30,6660,usnv brown fpo ae 98891,hcrawford@gmail.com
15,universidad j  f  kennedy,ingeniería electrónica,2020-12-28,deborah,green,female,25,8214,26451 erica port east lindsey  de 35816,linda47@yahoo.com
16,universidad j  f  kennedy,licenciatura en ciencias de la computación,2020-11-07,jeremy,evans,male,-21,3087,207 patrick rapids south michaelmouth  or 67703,noah83@hotmail.com
17,universidad j  f  kennedy,actuario,2020-10-08,adam,williams,male,11,3454,369 joshua court lake james  nd 16997,jackie04@gmail.com
18,universidad j  f  kennedy,ingeniería en informática,2020-10-21,dawn,fleming,female,-10,3641,8700 gregory mission west megan  ia 21753,craigarmstrong@gmail.com
19,universidad j  f  kennedy,medicina,2021-01-12,nicole,palmer,female,12,6221,26557 jacob squares apt. 967 peterhaven  ok 26018,psantana@gmail.com
20,universidad j  f  kennedy,licenciatura en ciencias antropológicas,2020-09-15,robert,stafford md,male,-31,1605,19312 patterson square smithville  tn 81055,egarcia@gmail.com
21,universidad j  f  kennedy,diseño de imagen y sonido,2020-11-07,jack,schwartz,male,-13,2456,psc 1165  box 5385 apo ap 28934,elizabethalexander@gmail.com
22,universidad j  f  kennedy,agronomía,2021-01-03,nathaniel,garcia,male,18,2848,psc 2272  box 5278 apo aa 37902,candacerichardson@yahoo.com
23,universidad j  f  kennedy,bioquímica,2020-10-25,ashley,dean,female,3,1682,3283 amanda knolls watsonbury  wa 52038,wileywilliam@hotmail.com
24,universidad j  f  kennedy,ingeniería electrónica,2020-09-18,michelle,bass,female,-31,4105,512 taylor throughway suite 699 port cheryl  nd 68159,wgeorge@hotmail.com
