universities,career,inscription_date,last_name,first_name,last_name,gender,age,location,email
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-EN-INFORMÁTICA,01-06-2021,RAMSEY,PRESTON,RAMSEY,M,113.0,ALTO-PENCOSO,SANCHEZJASON@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,CONTADOR-PÚBLICO-,01-09-2020,RUSSELL,KENDRA,RUSSELL,F,10.0,CAÑADA-ROSQUIN,STEPHEN57@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-SOCIOLOGÍA-,01-05-2020,CRUZ,DAVID,CRUZ,M,66.0,ARBOL-SOLO,ZBARRY@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,01-02-2021,SIMPSON,KEVIN,SIMPSON,M,46.0,AGUADA-A-PIQUE,LANCE70@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,ACTUARIO-,01-08-2021,PATEL,DAVID,PATEL,M,94.0,3-DE-MAYO,GREENELIZABETH@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-SOCIOLOGÍA-,01-06-2021,RIVERA,SANDRA,RIVERA,F,51.0,GUILLERMO-E-HUDSON,JOSEPHRICKY@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-ARTES,01-03-2020,WEST,GEORGE,WEST,M,79.0,VILLA-MARTELLI,ERICPATEL@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-DE-IMAGEN-Y-SONIDO,01-05-2021,EDWARDS,TIFFANY,EDWARDS,F,5.0,AGUA-Y-ENERGIA,LWILLIAMSON@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,01-06-2020,PHELPS,MICHELE,PHELPS,F,35.0,BARRIO-INDIO-TROMPA,HEATHER34@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,01-08-2021,MILLER,GREGORY,MILLER,M,33.0,JOSE-MARIA-BLANCO,YTAYLOR@GMAIL.COM
