,universities,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,,ingeniería en informática,2021-06-01,preston,ramsey,male,113,1601,alto pencoso,sanchezjason@yahoo.com
1,,contador público,2020-09-01,kendra,russell,female,10,1602,cañada rosquin,stephen57@yahoo.com
2,,licenciatura en sociología,2020-05-01,david,cruz,male,66,1603,arbol solo,zbarry@gmail.com
3,,licenciatura en relaciones del trabajo,2021-02-01,kevin,simpson,male,46,1605,aguada a pique,lance70@hotmail.com
4,,actuario,2021-08-01,david,patel,male,94,1607,3 de mayo,greenelizabeth@yahoo.com
5,,licenciatura en sociología,2021-06-01,sandra,rivera,female,51,1609,guillermo e hudson,josephricky@gmail.com
6,,licenciatura en artes,2020-03-01,george,west,male,79,1611,villa martelli,ericpatel@gmail.com
7,,diseño de imagen y sonido,2021-05-01,tiffany,edwards,female,5,1612,agua y energia,lwilliamson@hotmail.com
8,,licenciatura en gestión de agroalimentos,2020-06-01,michele,phelps,female,35,1613,barrio indio trompa,heather34@yahoo.com
9,,licenciatura en terapia ocupacional,2021-08-01,gregory,miller,male,33,1614,jose maria blanco,ytaylor@gmail.com
10,,licenciatura en administración,2021-07-01,stephen,warner,male,85,1615,allende,perezeric@hotmail.com
11,,licenciatura en sociología,2020-06-01,steve,diaz,male,87,1617,isla gran malvina,btran@gmail.com
12,,licenciatura en ciencias geológicas,2020-07-01,anthony,pierce,male,28,1618,agua linda,mparker@yahoo.com
13,,ingeniería mecánica,2020-06-01,kevin,gonzalez,male,70,1619,baños pismanta,hayleyhartman@hotmail.com
14,,licenciatura en relaciones del trabajo,2020-05-01,robert,bates,male,77,1621,achiras,michaelreynolds@yahoo.com
15,,licenciatura en ciencias ambientales,2021-02-01,erin,nguyen,female,9,1623,atreuco,ufernandez@yahoo.com
16,,farmacia,2021-06-01,joseph,hayes,male,42,1625,campo de talamayo,patricia33@gmail.com
17,,ingeniería mecánica,2021-06-01,ronald,stevens,male,78,1627,23 de agosto,johnsonjesse@gmail.com
18,,técnico para bioterios,2021-06-01,dawn,hansen,female,24,1629,anecon chico,spencervalenzuela@gmail.com
19,,diseño industrial,2020-06-01,anthony,jimenez,male,72,1631,san fernando,mgaines@hotmail.com
20,,ciencias veterinarias,2021-07-01,stephanie,garcia,female,71,1633,villani,narnold@hotmail.com
21,,licenciatura en producción de bioimagenes,2020-06-01,erik,evans,male,54,1635,aaron castellanos,nathanbartlett@gmail.com
22,,técnico para bioterios,2021-04-01,michelle,lowe,female,94,1636,capitan bermudez,shannonmontes@yahoo.com
23,,licenciatura en ciencia y tecnología de alimentos,2021-08-01,emily,santos,female,3,1638,drabble,derrick86@yahoo.com
24,,ingeniería electrónica,2021-03-01,james,rodriguez,male,45,1640,comodoro py,carterreginald@hotmail.com
25,,diseño industrial,2021-02-01,jennifer,henson,female,16,1642,la cañada,joelgonzalez@gmail.com
26,,ingeniería mecánica,2021-05-01,cathy,campbell,female,58,1643,el zorro,hectorcastillo@hotmail.com
27,,licenciatura en sociología,2020-07-01,maria,edwards,female,21,1644,capitan solari,hlawrence@gmail.com
28,,licenciatura en ciencia política,2020-08-01,anita,armstrong,female,43,1646,antonio tomas,joseph21@hotmail.com
29,,técnico para bioterios,2020-08-01,jesse,bauer,male,56,1647,campo andino,palmerjeremy@yahoo.com
30,,licenciatura en administración,2020-08-01,maria,trevino,female,21,1648,sancti spiritu,bradleywhitehead@yahoo.com
31,,licenciatura en planificación y diseño del paisaje,2021-06-01,john,mason,male,106,1649,britos,alevy@yahoo.com
32,,técnico para bioterios,2020-04-01,samantha,salinas,female,68,1650,maggiolo,kingfrank@gmail.com
33,,licenciatura en terapia ocupacional,2020-07-01,matthew,weaver,male,32,1651,arturo vatteone,jeffreybrown@gmail.com
34,,licenciatura en ciencias de la computación,2020-05-01,martin,frank,male,45,1653,banda florida,psimmons@hotmail.com
